,label,animal_id,Cell,image_id,norm_mean_tmem,norm_mean_cd68,tmem_level,cd68_level,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab
43,B04_2_MIP.czi:c:3/4 - B04_2_MIP.czi #1,B04,4,2,0.25538782499163537,0.012783434303243774,high,high,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
44,B04_3_MIP.czi:c:3/4 - B04_3_MIP.czi #1,B04,1,3,0.1249787789148768,-0.010729968581770076,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
45,B04_3_MIP.czi:c:3/4 - B04_3_MIP.czi #1,B04,2,3,0.11305484315257329,-0.008262991541500522,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
46,B04_3_MIP.czi:c:3/4 - B04_3_MIP.czi #1,B04,3,3,0.14926816825297645,-0.007894662100209476,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
47,B04_3_MIP.czi:c:3/4 - B04_3_MIP.czi #1,B04,4,3,0.16907033258188264,-0.048939172284124643,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
48,B06_1_MIP.czi:c:3/4 - B06_1_MIP.czi #1,B06,1,1,0.23634874974571246,0.14575680187760914,high,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
49,B06_1_MIP.czi:c:3/4 - B06_1_MIP.czi #1,B06,2,1,0.23781079614626002,0.15123949786931876,high,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
50,B06_1_MIP.czi:c:3/4 - B06_1_MIP.czi #1,B06,3,1,0.1583533702994913,0.139288265153126,high,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
51,B06_1_MIP.czi:c:3/4 - B06_1_MIP.czi #1,B06,4,1,0.06074533037062124,0.05539901716601603,mid,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
52,B06_2_MIP.czi:c:3/4 - B06_2_MIP.czi #1,B06,1,2,0.04887125567051963,0.05706044110836411,low,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
53,B06_2_MIP.czi:c:3/4 - B06_2_MIP.czi #1,B06,2,2,0.07472262003568259,0.07552757807690968,mid,high,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1
